[0,6,9,10,11,13,12,13,7,7,10,12,13,10,13,6,10,9,9,4,9,11,13,8],
[6,0,6,7,8,10,9,13,10,10,13,9,13,4,13,9,7,12,12,10,12,8,13,11]
[9,6,0,10,13,13,12,7,12,7,10,6,9,8,10,6,8,13,11,11,12,4,12,8]
[10,7,10,0,8,6,4,12,12,6,12,13,10,9,9,7,13,13,8,12,10,12,7,11]
[11,8,13,8,0,4,6,7,7,12,8,12,9,10,10,12,10,7,12,13,11,13,12,10]
[13,10,13,6,4,0,8,9,11,12,6,10,7,8,12,10,12,9,12,11,7,13,10,12]
[12,9,12,4,6,8,0,10,10,8,12,13,12,7,7,11,13,13,6,10,12,10,9,7]
[13,13,7,12,7,9,10,0,11,9,6,10,4,13,6,10,12,9,11,13,13,9,10,8]
[7,10,12,12,7,11,10,11,0,13,12,8,13,12,8,8,6,11,13,9,4,12,10,6]
[7,10,7,6,12,12,8,9,13,0,6,10,11,12,6,10,12,9,4,9,13,11,8,12]
[10,13,10,12,8,6,12,6,12,6,0,7,8,11,9,13,11,5,8,8,10,12,11,13]
[12,9,6,13,12,10,13,10,8,10,7,0,12,7,7,12,4,12,12,10,6,8,9,12]
[13,13,9,10,9,7,12,4,13,11,8,12,0,13,10,8,10,7,9,13,11,7,6,10]
[10,4,8,9,10,8,7,13,12,12,11,7,13,0,13,11,9,14,10,6,10,6,13,9]
[13,13,10,9,10,12,7,6,8,6,9,7,10,13,0,13,9,12,8,13,10,12,4,11]
[6,9,6,7,12,10,11,10,8,10,13,12,8,11,13,0,12,14,12,8,6,8,11,4]
[10,7,8,13,10,12,13,12,6,12,11,4,10,9,9,12,0,8,10,12,8,6,7,12]
[10,13,14,14,8,10,14,10,12,10,6,13,8,15,13,15,9,0,8,12,14,12,11,15]
[9,12,11,8,12,12,6,11,13,4,8,12,9,10,8,12,10,7,0,7,13,7,6,10]
[4,10,11,12,13,11,10,13,9,9,8,10,13,6,13,8,12,11,7,0,7,9,13,6]
[9,12,12,10,11,7,12,13,4,13,10,6,11,10,10,6,8,13,13,7,0,12,8,8]
[11,8,4,12,13,13,10,9,12,11,12,8,7,6,12,8,6,11,7,9,12,0,10,6]
[13,13,12,7,12,10,9,10,10,8,11,9,6,13,4,11,7,10,6,13,8,10,0,13]
[8,11,8,11,10,12,7,8,6,12,13,12,10,9,11,4,12,14,10,6,8,6,13,0]]
